"Unable to cancel order that has already been paid.", "Tasutud tellimust ei saa enam tühistada."
"Svea Payments returned an error on your payment.", "Svea süsteemis ilmsnes maksel viga."
"Something went wrong:", "Midagi läks valesti:"
"Unknown error on Svea Payments module. %1", "Tundmatu viga Svea maksete moodulis. %1"
"Unknown error on Svea Payments.", "Tundmatu viga Svea poolel."
"Gateway returned an empty field %1", "Svea maksekeskus tagastas tühja välja %1"
"Value returned from Svea does not match: %1", "Svea poolt tagastatud väärtus ei ühti: %1"
"Shipping and payment costs returned from Svea do not match. %1", "Svea poolt tagastatud saatmis- ja tehingutasu ei ühti. %1"
"Choose payment method...", "Vali makseviis..."
"Invoicing Fee", "Tehingutasu"
"Your order is not valid or is already paid.", "Tellimus ei kehti või on juba tasutud."
"Payment Method", "Makseviis"
"Place Order", "Esita tellimus"
