"Part Payment Calculator","Delbetalningskalkylator"
"Part payment is not available at this purchase price","Delbetalning är inte tillgänglig till denna köpesumma"
"Unable to cancel order that has already been paid.", "Det var inte möjligt att avbeställa en beställning som redan har betalats."
"Svea Payments returned an error on your payment.", "Svea Payments returnerade ett fel i hanteringen av betalningen."
"Something went wrong:", "Något gick fel:"
"Unknown error on Svea Payments module. %1", "Okänt fel i Svea Payments modul. %1"
"Unknown error on Svea Payments.", "Okänt fel i Svea Payments betaltjänst."
"Gateway returned an empty field %1", "Svea Payments betaltjänst returnerade ett tomt fält  %1"
"Value returned from Svea does not match: %1", "Värdet som returneras från Svea Payments stämmer inte överens: %1"
"Shipping and payment costs returned from Svea do not match. %1", "Frakt- och betalningskostnader som returneras från Svea Payments stämmer inte överens. %1"
"Choose payment method...", "Välj betalsätt..."
"Invoicing Fee", "Faktureringsavgift"
"Invoicing Fee VAT","Faktureringsavgift moms"
"Your order is not valid or is already paid.", "Din beställning är inte giltig eller är redan betald."
"Payment Method", "Betalsätt"
"Place Order", "Beställ"
